V1,V2,V3,File,ROTATE_0
LABELS,54.4565124512,Blossom,KEN-007-D0001-I000006.jpeg,
LABELS,54.4565124512,Flora,KEN-007-D0001-I000006.jpeg,
LABELS,54.4565124512,Flower,KEN-007-D0001-I000006.jpeg,
LABELS,54.4565124512,Plant,KEN-007-D0001-I000006.jpeg,
LABELS,52.6125297546,Bush,KEN-007-D0001-I000006.jpeg,
LABELS,51.5862159729,Field,KEN-007-D0001-I000006.jpeg,
LABELS,51.5862159729,Grass,KEN-007-D0001-I000006.jpeg,
LABELS,51.5862159729,Grassland,KEN-007-D0001-I000006.jpeg,
LABELS,50.915927887,Tree,KEN-007-D0001-I000006.jpeg,
LABELS,50.8206977844,Reed,KEN-007-D0001-I000006.jpeg,
LABELS,97.7024765015,Animal,KEN-007-D0001-I000007.jpeg,
LABELS,97.7024765015,Boar,KEN-007-D0001-I000007.jpeg,
LABELS,97.7024765015,Mammal,KEN-007-D0001-I000007.jpeg,
LABELS,97.7024765015,Warthog,KEN-007-D0001-I000007.jpeg,
